name,price,location,sold,date
Acer Aspire E5-476G-58ZV Processor I5 Generasi 8th Hardisk 1TB NVIDIA GEFORCE & BONUS TAS LAPTOP,7.349.000,KOTA SURABAYA,2,14-01-2021
"Acer Aspire A514 Intel Core i5 10210U, 4 GB, HDD 1 TB, VGA Nvidia MX25",9.150.000,KOTA MEDAN,2,14-01-2021
ACER ASPIRE 3 SLIM A314 AMD RYZEN 3 3250 RAM4GB SSD256GB FHD  WINDOWS 10 + OHS ORIGINAL,6.999.000,KOTA JAKARTA PUSAT,6,14-01-2021
"ACER ASPIRE 5 A514-52G i7 10510U 8GB 1TB SSD MX250 2GB 14"" WIN10  OHS",13.999.000,KOTA JAKARTA UTARA,1,14-01-2021
Desktop Acer Aspire TC-708 | UX.BC7SD.009,7.999.000,KOTA TANGERANG SELATAN,1,14-01-2021
Acer Aspire E5 475G White i5-7200U/4GB/1TB/940MX-2GB Second,5.499.000,KAB. BANDUNG,4,14-01-2021
ACER ASPIRE 3 A315 42 R1RE R3 3200U 4GB 500GB W10,6.161.000,KOTA TANGERANG,3,14-01-2021
ACER ASPIRE 5 A514-52G-59RA i5 10210 4GB 1TB MX250 2GB W10+OHS 14.0,8.350.000,KOTA JAKARTA PUSAT,2,14-01-2021
"LAPTOP ACER ASPIRE 3 SLIM A314-22 R4ZD - RYZEN 5-3500U - 8GB - 512GB SSD - 14""FHD - WIN10 - OFFICE",8.299.000,KOTA JAKARTA BARAT,2,14-01-2021
"LAPTOP ACER ASPIRE 5 A514 53 - i3-1005G1 - 4GB - 512SSD + INTEL OPTANE - 14""FHD - W10 - OFFICE",7.499.000,KOTA JAKARTA BARAT,33,14-01-2021
Notebook Acer Aspire Series Windows 10,4.660.000,KOTA JAKARTA BARAT,3,14-01-2021
"ACER Aspire Switch 10- INTEL ATOM Z3735F -2GB-64GB SSD-10""",1.960.000,KOTA DEPOK,106,14-01-2021
NoteBook ACER ASPIRE A311-31-N4000-4GB-500GB-Windows 10 BLACK,3.435.000,KOTA BANDUNG,1,14-01-2021
Acer Aspire 5 A514-52G Core i7-10510U/8GB DDR/ 1TB SSD NVMe/ MX250 W10,14.685.000,KOTA JAKARTA PUSAT,2,14-01-2021
FULSET Laptop Acer Aspire 4739 Series Hardisk 320GB siap pakai BONUS TAS & MOUSE,1.990.000,KOTA BEKASI,13,14-01-2021
Laptop Gaming Acer Aspire 3 A314 AMD Athlon 3050U - 8GB - SSD - Win10,6.110.000,KOTA JAKARTA SELATAN,1,14-01-2021
"LAPTOP ACER ASPIRE 5 A514-54G i5-1135G7 8GB 512GB MX350 2GB 14"" W10+OHS",10.999.000,KOTA JAKARTA PUSAT,1,14-01-2021
"LAPTOP ACER ASPIRE 5 A514 53 i3-1005G1/4GB/SSD512GB/14""HD/WIN10-Magic Color(purple)",7.250.000,KOTA BANDUNG,1,14-01-2021
Acer Aspire E1-421 Fullset Lengkap Laptop Second Bekas Murah RAM 2GB HDD 320GB VGA ATI Radeon,2.000.000,KAB. INDRAMAYU,1,14-01-2021
